,Computer,Block,Day,Trial,Plates,location,animal,start,end,lardist,stdate,sttime
216,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,360,420,45.5,21/06/2016,14:09:27
217,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,360,420,189.2,21/06/2016,14:09:27
218,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,360,420,283.1,21/06/2016,14:09:27
219,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,360,420,435.1,21/06/2016,14:09:27
220,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,360,420,423.5,21/06/2016,14:09:27
221,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,360,420,251.7,21/06/2016,14:09:27
222,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,360,420,322.4,21/06/2016,14:09:27
223,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,360,420,284.7,21/06/2016,14:09:27
224,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,420,480,79.8,21/06/2016,14:10:27
225,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,420,480,220.8,21/06/2016,14:10:27
226,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,420,480,481.2,21/06/2016,14:10:27
227,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,420,480,350.8,21/06/2016,14:10:27
228,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,420,480,277.4,21/06/2016,14:10:27
229,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,420,480,390.3,21/06/2016,14:10:27
230,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,420,480,251.7,21/06/2016,14:10:27
231,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,420,480,39.2,21/06/2016,14:10:27
232,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,420,480,328.6,21/06/2016,14:10:27
233,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,420,480,227.6,21/06/2016,14:10:27
234,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,420,480,195.7,21/06/2016,14:10:27
235,1.0,1.0,1.0,1.0,AB,c1-012,DM1012,420,480,298.8,21/06/2016,14:10:27
236,1.0,1.0,1.0,1.0,AB,c1-013,DM1013,420,480,41.5,21/06/2016,14:10:27
237,1.0,1.0,1.0,1.0,AB,c1-014,DM1014,420,480,223.3,21/06/2016,14:10:27
238,1.0,1.0,1.0,1.0,AB,c1-015,DM1015,420,480,205.8,21/06/2016,14:10:27
239,1.0,1.0,1.0,1.0,AB,c1-016,DM1016,420,480,1562,21/06/2016,14:10:27
240,1.0,1.0,1.0,1.0,AB,c2-001,DM2017,420,480,251.5,21/06/2016,14:10:27
241,1.0,1.0,1.0,1.0,AB,c2-002,DM2018,420,480,452.8,21/06/2016,14:10:27
242,1.0,1.0,1.0,1.0,AB,c2-003,DM2019,420,480,234.7,21/06/2016,14:10:27
243,1.0,1.0,1.0,1.0,AB,c2-004,DM2020,420,480,354,21/06/2016,14:10:27
244,1.0,1.0,1.0,1.0,AB,c2-005,DM2021,420,480,291.4,21/06/2016,14:10:27
245,1.0,1.0,1.0,1.0,AB,c2-006,DM2022,420,480,227.6,21/06/2016,14:10:27
246,1.0,1.0,1.0,1.0,AB,c2-007,DM2023,420,480,190.5,21/06/2016,14:10:27
247,1.0,1.0,1.0,1.0,AB,c2-008,DM2024,420,480,166.4,21/06/2016,14:10:27
248,1.0,1.0,1.0,1.0,AB,c2-009,DM2025,420,480,28.3,21/06/2016,14:10:27
249,1.0,1.0,1.0,1.0,AB,c2-010,DM2026,420,480,116.7,21/06/2016,14:10:27
250,1.0,1.0,1.0,1.0,AB,c2-011,DM2027,420,480,290.7,21/06/2016,14:10:27
251,1.0,1.0,1.0,1.0,AB,c2-012,DM2028,420,480,508.3,21/06/2016,14:10:27
252,1.0,1.0,1.0,1.0,AB,c2-013,DM2029,420,480,418.5,21/06/2016,14:10:27
253,1.0,1.0,1.0,1.0,AB,c2-014,DM2030,420,480,295.3,21/06/2016,14:10:27
254,1.0,1.0,1.0,1.0,AB,c2-015,DM2031,420,480,272,21/06/2016,14:10:27
255,1.0,1.0,1.0,1.0,AB,c2-016,DM2032,420,480,245.1,21/06/2016,14:10:27
256,1.0,1.0,1.0,1.0,AB,c1-001,DM1001,480,540,26,21/06/2016,14:11:27
257,1.0,1.0,1.0,1.0,AB,c1-002,DM1002,480,540,228.1,21/06/2016,14:11:27
258,1.0,1.0,1.0,1.0,AB,c1-003,DM1003,480,540,458.4,21/06/2016,14:11:27
259,1.0,1.0,1.0,1.0,AB,c1-004,DM1004,480,540,275.9,21/06/2016,14:11:27
260,1.0,1.0,1.0,1.0,AB,c1-005,DM1005,480,540,216.3,21/06/2016,14:11:27
261,1.0,1.0,1.0,1.0,AB,c1-006,DM1006,480,540,281.6,21/06/2016,14:11:27
262,1.0,1.0,1.0,1.0,AB,c1-007,DM1007,480,540,261.4,21/06/2016,14:11:27
263,1.0,1.0,1.0,1.0,AB,c1-008,DM1008,480,540,3.1,21/06/2016,14:11:27
264,1.0,1.0,1.0,1.0,AB,c1-009,DM1009,480,540,317.9,21/06/2016,14:11:27
265,1.0,1.0,1.0,1.0,AB,c1-010,DM1010,480,540,253.9,21/06/2016,14:11:27
266,1.0,1.0,1.0,1.0,AB,c1-011,DM1011,480,540,217,21/06/2016,14:11:27
